2025-01-30 11:16:36,082 - INFO - Starting Telegram Scraper
2025-01-30 11:16:36,087 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2025-01-30 11:16:40,105 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2025-01-30 11:16:51,709 - INFO - Phone migrated to 4
2025-01-30 11:16:51,834 - INFO - Reconnecting to new data center 4
2025-01-30 11:16:51,976 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2025-01-30 11:16:51,977 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2025-01-30 11:16:51,978 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2025-01-30 11:16:53,584 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2025-01-30 11:17:17,054 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:17:18,126 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:17:19,542 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:17:20,826 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:17:30,696 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:17:33,208 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:17:35,629 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:17:36,839 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:17:38,264 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:17:53,760 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:17:56,446 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:17:58,128 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:18:02,472 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:18:06,762 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:18:07,811 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:18:10,063 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:18:11,105 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:18:12,138 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:18:14,734 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:18:15,661 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:18:17,911 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:18:20,638 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:18:21,864 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:18:23,916 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:18:25,649 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:18:28,127 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:18:30,732 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:18:34,468 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:18:38,141 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:18:38,992 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:18:40,144 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:18:41,315 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:18:42,248 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:18:43,289 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:18:45,372 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:18:48,283 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:18:50,383 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:18:51,895 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:18:54,493 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:18:58,027 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:18:58,979 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:19:00,082 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:19:02,447 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:19:04,485 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:19:05,887 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:19:07,551 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:19:09,363 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:19:11,378 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:19:13,133 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:19:14,541 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:19:17,261 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:19:18,101 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:19:19,264 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:19:24,004 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:19:24,733 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:19:26,509 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:19:29,030 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:19:30,249 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
